Date,Symbol,Close
6/28/2021 16:00,SOFI,19.26
6/29/2021 16:00,SOFI,18.87
6/30/2021 16:00,SOFI,19.17
7/1/2021 16:00,SOFI,18.25
7/2/2021 16:00,SOFI,18.08
7/6/2021 16:00,SOFI,17.35
7/7/2021 16:00,SOFI,16.94
7/8/2021 16:00,SOFI,16.62
7/9/2021 16:00,SOFI,16.45
7/12/2021 16:00,SOFI,16.42
7/13/2021 16:00,SOFI,16
7/14/2021 16:00,SOFI,15.52
7/15/2021 16:00,SOFI,15.99
7/16/2021 16:00,SOFI,15.3
7/19/2021 16:00,SOFI,15.17
7/20/2021 16:00,SOFI,15.06
7/21/2021 16:00,SOFI,16.56
7/22/2021 16:00,SOFI,16.05
7/23/2021 16:00,SOFI,15.7
7/26/2021 16:00,SOFI,15.51
7/27/2021 16:00,SOFI,14.92
7/28/2021 16:00,SOFI,15.37
7/29/2021 16:00,SOFI,15.6
7/30/2021 16:00,SOFI,15.44
8/2/2021 16:00,SOFI,15.73
8/3/2021 16:00,SOFI,15.11
8/4/2021 16:00,SOFI,16.39
8/5/2021 16:00,SOFI,16.06
8/6/2021 16:00,SOFI,16.71
8/9/2021 16:00,SOFI,16.91
8/10/2021 16:00,SOFI,16.99
8/11/2021 16:00,SOFI,16.9
8/12/2021 16:00,SOFI,17.46
8/13/2021 16:00,SOFI,14.99
8/16/2021 16:00,SOFI,14.29
8/17/2021 16:00,SOFI,13.75
8/18/2021 16:00,SOFI,14.22
8/19/2021 16:00,SOFI,13.82
8/20/2021 16:00,SOFI,14.04
8/23/2021 16:00,SOFI,14.43
8/24/2021 16:00,SOFI,14.76
8/25/2021 16:00,SOFI,14.85
8/26/2021 16:00,SOFI,14.36
8/27/2021 16:00,SOFI,14.04
8/30/2021 16:00,SOFI,14.19
8/31/2021 16:00,SOFI,14.18
9/1/2021 16:00,SOFI,14.57
9/2/2021 16:00,SOFI,15.06
9/3/2021 16:00,SOFI,15.16
9/7/2021 16:00,SOFI,15.84
9/8/2021 16:00,SOFI,15.47
9/9/2021 16:00,SOFI,15.69
9/10/2021 16:00,SOFI,15.29
9/13/2021 16:00,SOFI,15.01
9/14/2021 16:00,SOFI,14.5
9/15/2021 16:00,SOFI,15.45
9/16/2021 16:00,SOFI,15.5
9/17/2021 16:00,SOFI,15.09
9/20/2021 16:00,SOFI,14.57
9/21/2021 16:00,SOFI,15.17
9/22/2021 16:00,SOFI,16.84
9/23/2021 16:00,SOFI,17.14
9/24/2021 16:00,SOFI,17.64
9/27/2021 16:00,SOFI,17.7
9/28/2021 16:00,SOFI,17.04
9/29/2021 16:00,SOFI,16.01
9/30/2021 16:00,SOFI,15.88
10/1/2021 16:00,SOFI,16.45
10/4/2021 16:00,SOFI,16.09
10/5/2021 16:00,SOFI,16.25
10/6/2021 16:00,SOFI,16.62
10/7/2021 16:00,SOFI,16.4
10/8/2021 16:00,SOFI,16.21
10/11/2021 16:00,SOFI,18.39
10/12/2021 16:00,SOFI,18.97
10/13/2021 16:00,SOFI,18.92
10/14/2021 16:00,SOFI,19.62
10/15/2021 16:00,SOFI,19.38
10/18/2021 16:00,SOFI,20.85
10/19/2021 16:00,SOFI,20.22
10/20/2021 16:00,SOFI,21.05
10/21/2021 16:00,SOFI,20.99
10/22/2021 16:00,SOFI,20.58
10/25/2021 16:00,SOFI,20.69
10/26/2021 16:00,SOFI,19.96
10/27/2021 16:00,SOFI,19.25
10/28/2021 16:00,SOFI,19.91
10/29/2021 16:00,SOFI,20.09
11/1/2021 16:00,SOFI,22.62
11/2/2021 16:00,SOFI,22.68
11/3/2021 16:00,SOFI,22.96
11/4/2021 16:00,SOFI,23.29
11/5/2021 16:00,SOFI,22.57
11/8/2021 16:00,SOFI,22.74
11/9/2021 16:00,SOFI,22.14
11/10/2021 16:00,SOFI,20.42
11/11/2021 16:00,SOFI,22.97
11/12/2021 16:00,SOFI,22.76
11/15/2021 16:00,SOFI,22.92
11/16/2021 16:00,SOFI,21.67
11/17/2021 16:00,SOFI,21.12
11/18/2021 16:00,SOFI,20.57
11/19/2021 16:00,SOFI,20.37
11/22/2021 16:00,SOFI,18.75
11/23/2021 16:00,SOFI,17.81
11/24/2021 16:00,SOFI,18.33
11/26/2021 13:00,SOFI,18.21
11/29/2021 16:00,SOFI,18.43
11/30/2021 16:00,SOFI,17.2
12/1/2021 16:00,SOFI,16.39
12/2/2021 16:00,SOFI,16.43
12/3/2021 16:00,SOFI,15.19
12/6/2021 16:00,SOFI,15.72
12/7/2021 16:00,SOFI,16.62
12/8/2021 16:00,SOFI,16.94
12/9/2021 16:00,SOFI,15.66
12/10/2021 16:00,SOFI,15.01
12/13/2021 16:00,SOFI,14.58
12/14/2021 16:00,SOFI,14.48
12/15/2021 16:00,SOFI,15.16
12/16/2021 16:00,SOFI,14.27
12/17/2021 16:00,SOFI,14.65
12/20/2021 16:00,SOFI,14.59
12/21/2021 16:00,SOFI,14.97
12/22/2021 16:00,SOFI,14.99
12/23/2021 16:00,SOFI,15.09
12/27/2021 16:00,SOFI,15.39
12/28/2021 16:00,SOFI,14.85
12/29/2021 16:00,SOFI,14.47
12/30/2021 16:00,SOFI,15.95
12/31/2021 16:00,SOFI,15.81
